DATAFLOW,BBK_STD_FREQ,BBK_STD_CURRENCY,BBK_ERX_PARTNER_CURRENCY,BBK_ERX_SERIES_TYPE,BBK_ERX_RATE_TYPE,BBK_ERX_SUFFIX,TIME_PERIOD,OBS_VALUE,BBK_DIFF,OBS_STATUS
BBK:BBEX3(1.0),D,AUD,EUR,BB,AC,000,2026-01-26,1.7133,0.2,

BBK:BBEX3(1.0),D,BGN,EUR,BB,AC,000,2025-12-31,1.9558,0.0,

BBK:BBEX3(1.0),D,BRL,EUR,BB,AC,000,2026-01-26,6.2569,0.9,

BBK:BBEX3(1.0),D,CAD,EUR,BB,AC,000,2026-01-26,1.6230,0.4,

BBK:BBEX3(1.0),D,CHF,EUR,BB,AC,000,2026-01-26,0.9223,-0.6,

BBK:BBEX3(1.0),D,CNY,EUR,BB,AC,000,2026-01-26,8.2312,0.7,

BBK:BBEX3(1.0),D,CYP,EUR,BB,AC,000,2007-12-31,0.585274,0.0,

BBK:BBEX3(1.0),D,CZK,EUR,BB,AC,000,2026-01-26,24.251,-0.0,

BBK:BBEX3(1.0),D,DKK,EUR,BB,AC,000,2026-01-26,7.4678,-0.0,

BBK:BBEX3(1.0),D,EEK,EUR,BB,AC,000,2010-12-31,15.6466,0.0,

BBK:BBEX3(1.0),D,GBP,EUR,BB,AC,000,2026-01-26,0.86750,-0.1,

BBK:BBEX3(1.0),D,GRD,EUR,BB,AC,000,2000-12-31,.,,K

BBK:BBEX3(1.0),D,HKD,EUR,BB,AC,000,2026-01-26,9.2289,0.8,

BBK:BBEX3(1.0),D,HRK,EUR,BB,AC,000,2022-12-30,7.5365,0.0,

BBK:BBEX3(1.0),D,HUF,EUR,BB,AC,000,2026-01-26,381.85,-0.1,

BBK:BBEX3(1.0),D,IDR,EUR,BB,AC,000,2026-01-26,19857.61,0.5,

BBK:BBEX3(1.0),D,ILS,EUR,BB,AC,000,2026-01-26,3.7118,0.6,

BBK:BBEX3(1.0),D,INR,EUR,BB,AC,000,2026-01-26,108.6115,0.7,

BBK:BBEX3(1.0),D,ISK,EUR,BB,AC,000,2026-01-26,145.40,-0.4,

BBK:BBEX3(1.0),D,JPY,EUR,BB,AC,000,2026-01-26,182.52,-1.7,

BBK:BBEX3(1.0),D,KRW,EUR,BB,AC,000,2026-01-26,1713.58,-0.6,

BBK:BBEX3(1.0),D,LTL,EUR,BB,AC,000,2014-12-31,3.4528,0.0,

BBK:BBEX3(1.0),D,LVL,EUR,BB,AC,000,2013-12-31,0.702804,0.0,

BBK:BBEX3(1.0),D,MTL,EUR,BB,AC,000,2007-12-31,0.4293,0.0,

BBK:BBEX3(1.0),D,MXN,EUR,BB,AC,000,2026-01-26,20.5826,0.5,

BBK:BBEX3(1.0),D,MYR,EUR,BB,AC,000,2026-01-26,4.6936,-0.2,

BBK:BBEX3(1.0),D,NOK,EUR,BB,AC,000,2026-01-26,11.6015,0.5,

BBK:BBEX3(1.0),D,NZD,EUR,BB,AC,000,2026-01-26,1.9877,0.1,

BBK:BBEX3(1.0),D,PHP,EUR,BB,AC,000,2026-01-26,70.017,0.9,

BBK:BBEX3(1.0),D,PLN,EUR,BB,AC,000,2026-01-26,4.2085,0.1,

BBK:BBEX3(1.0),D,ROL,EUR,BB,AC,000,2005-06-30,36030,-0.0,

BBK:BBEX3(1.0),D,RON,EUR,BB,AC,000,2026-01-26,5.0965,0.0,

BBK:BBEX3(1.0),D,RUB,EUR,BB,AC,000,2022-03-01,117.2010,1.5,

BBK:BBEX3(1.0),D,SEK,EUR,BB,AC,000,2026-01-26,10.6265,0.5,

BBK:BBEX3(1.0),D,SGD,EUR,BB,AC,000,2026-01-26,1.5044,0.2,

BBK:BBEX3(1.0),D,SIT,EUR,BB,AC,000,2006-12-31,.,,K

BBK:BBEX3(1.0),D,SKK,EUR,BB,AC,000,2008-12-31,30.126,-0.1,

BBK:BBEX3(1.0),D,THB,EUR,BB,AC,000,2026-01-26,36.869,0.8,

BBK:BBEX3(1.0),D,TRL,EUR,BB,AC,000,2004-12-31,1836200,0.4,

BBK:BBEX3(1.0),D,TRY,EUR,BB,AC,000,2026-01-26,51.3402,0.8,

BBK:BBEX3(1.0),D,USD,EUR,BB,AC,000,2026-01-26,1.1836,0.8,

BBK:BBEX3(1.0),D,ZAR,EUR,BB,AC,000,2026-01-26,19.0243,0.3,

